match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,batting_team,bowling_team,team1_score,team2_score,team1_wickets,team2_wickets,team1_overs,team2_overs,match_winner,win_by_runs,win_by_wickets,player_name,player_team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,overs_bowled,wickets_taken,runs_conceded,economy_rate,player_of_match
1493,2022,2022-05-02,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,161,188,9,3,20.0,19.5,Royal Challengers Bangalore,0,7,Wanindu Hasaranga,Royal Challengers Bangalore,All-Rounder,0,2,0,0,0.0,2.0,2,17,8.5,0
1318,2019,2019-05-24,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,190,175,3,4,20.0,20.0,Rajasthan Royals,15,0,Kuldeep Sen,Rajasthan Royals,Bowler,0,0,0,0,0.0,3.0,1,26,8.67,0
1449,2021,2021-05-18,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,Delhi Capitals,171,144,3,4,20.0,20.0,Kolkata Knight Riders,27,0,Phil Salt,Delhi Capitals,WK-Batsman,2,2,0,0,100.0,0.0,0,0,,0
1434,2021,2021-05-02,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Chennai Super Kings,176,172,10,9,20.0,20.0,Sunrisers Hyderabad,4,0,Deepak Chahar,Chennai Super Kings,Bowler,22,1,0,0,2200.0,3.0,0,22,7.33,0
1176,2017,2017-05-09,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,169,163,7,4,20.0,20.0,Sunrisers Hyderabad,6,0,Prasidh Krishna,Rajasthan Royals,Bowler,5,9,0,0,55.56,4.0,2,23,5.75,0
1121,2016,2016-05-17,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,Delhi Capitals,166,159,10,8,20.0,20.0,Rajasthan Royals,7,0,Mitchell Marsh,Delhi Capitals,All-Rounder,15,15,1,0,100.0,2.0,1,7,3.5,0
1490,2022,2022-04-30,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,157,139,8,7,20.0,20.0,Rajasthan Royals,18,0,Rajat Patidar,Royal Challengers Bangalore,Batsman,20,20,1,0,100.0,0.0,0,0,,0
1237,2018,2018-05-04,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,Punjab Kings,174,136,6,10,20.0,20.0,Delhi Capitals,38,0,Shikhar Dhawan,Punjab Kings,Batsman,18,18,1,0,100.0,0.0,0,0,,0
1353,2020,2020-04-21,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,153,166,4,3,20.0,15.0,Sunrisers Hyderabad,0,7,Bhuvneshwar Kumar,Sunrisers Hyderabad,Bowler,16,5,0,0,320.0,4.0,1,40,10.0,0
1147,2017,2017-04-10,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,191,189,8,3,20.0,20.0,Chennai Super Kings,2,0,Kane Williamson,Sunrisers Hyderabad,Batsman,14,14,1,1,100.0,0.0,0,0,,0
1272,2019,2019-04-07,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,169,203,4,6,20.0,15.7,Chennai Super Kings,0,4,Dwayne Bravo,Chennai Super Kings,All-Rounder,12,12,1,0,100.0,4.0,1,37,9.25,0
1258,2018,2018-05-25,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,Sunrisers Hyderabad,124,178,9,0,20.0,17.7,Sunrisers Hyderabad,0,10,Sunil Narine,Kolkata Knight Riders,All-Rounder,43,43,4,2,100.0,1.0,2,3,3.0,0
